journal,title,abstract,doi,authors,publication_date,year,type,cited_by_count,openalex_id,url,country,FID,sentiment,score
Nature,Sustainable Hydropower Developments for China,,,Weiyao Tang; Wei Shen; Lei Zhu; Sen Wang; Colin Duffield; Yehua Dennis Wei; Khoo Hsien Hui,2016-01-01,2016,article,0,https://openalex.org/W3006023338,https://openalex.org/W3006023338,China,0,positive,0.9
Nature,China boom leaves children behind,,https://doi.org/10.1038/529025a,Peng Yuan; Long Wang,2016-01-06,2016,article,46,https://openalex.org/W2222969088,https://openalex.org/W2222969088,China,1,negative,0.9
Nature,China’s quantum space pioneer: We need to explore the unknown,,https://doi.org/10.1038/nature.2016.19166,Celeste Biever,2016-01-13,2016,article,6,https://openalex.org/W2516365309,https://openalex.org/W2516365309,China,2,positive,0.9
Nature,The contribution of China’s emissions to global climate forcing,,https://doi.org/10.1038/nature17165,Bengang Li; Thomas Gasser; Philippe Ciais; Shilong Piao; Shu Tao; Yves Balkanski; Didier Hauglustaine; Juan Pablo Boisier; Zhuo Chen; Mengtian Huang; Laurent Li; Yue Li; Hongyan Liu; Junfeng Liu; Shushi Peng; Zehao Shen; Zhenzhong Sun; Rong Wang; Tao Wang; Guodong Yin; Yi Yin; Hui Zeng; Zhenzhong Zeng; Feng Zhou,2016-03-01,2016,article,307,https://openalex.org/W2300402820,https://openalex.org/W2300402820,China,3,neutral,0.9
Nature,China’s contribution to climate change,,https://doi.org/10.1038/531310a,Dominick V. Spracklen,2016-03-01,2016,article,30,https://openalex.org/W2301582879,https://openalex.org/W2301582879,China,4,neutral,0.9
Nature,China draws lines to green future,,https://doi.org/10.1038/531305b,Sang Weiguo; Jan C. Axmacher,2016-03-15,2016,article,22,https://openalex.org/W2297619408,https://openalex.org/W2297619408,China,5,positive,0.9
Nature,Circular economy: Lessons from China,,https://doi.org/10.1038/531440a,John A. Mathews; Hao Tan,2016-03-18,2016,article,282,https://openalex.org/W2311232324,https://openalex.org/W2311232324,China,6,neutral,0.8
Nature,What China’s latest five-year plan means for science,,https://doi.org/10.1038/nature.2016.19590,David Cyranoski,2016-03-18,2016,article,19,https://openalex.org/W2303580836,https://openalex.org/W2303580836,China,7,neutral,0.9
Nature,Holistic hydropower scheme for China,,https://doi.org/10.1038/532037d,Wenzhe Tang,2016-04-06,2016,article,5,https://openalex.org/W2317093798,https://openalex.org/W2317093798,China,8,neutral,0.8
Nature,China: Building an innovator,,https://doi.org/10.1038/533s32a,Nicky Phillips,2016-05-03,2016,article,3,https://openalex.org/W2346732269,https://openalex.org/W2346732269,China,9,positive,0.9
Nature,US and China eye up European gravitational-wave mission,,https://doi.org/10.1038/533019a,Elizabeth Gibney,2016-05-03,2016,article,2,https://openalex.org/W2346923484,https://openalex.org/W2346923484,China,10,neutral,0.9
Nature,Spend more on soil clean-up in China,,https://doi.org/10.1038/533469a,Yijun Yao,2016-05-25,2016,article,22,https://openalex.org/W2973674556,https://openalex.org/W2973674556,China,11,positive,0.9
Nature,Revive China's green GDP programme,,https://doi.org/10.1038/534037b,Wang Jinnan,2016-06-01,2016,article,46,https://openalex.org/W2412321005,https://openalex.org/W2412321005,China,12,positive,0.9
Nature,Ancient beer recipe from China,,https://doi.org/10.1038/534009b,,2016-06-01,2016,article,0,https://openalex.org/W4255820319,https://openalex.org/W4255820319,China,13,neutral,0.9
Nature,China's primates: preserve wild species,,https://doi.org/10.1038/534179c,Alison M. Behie; Colin P. Groves,2016-06-08,2016,article,3,https://openalex.org/W2415889952,https://openalex.org/W2415889952,China,14,positive,0.9
Nature,China's primates: EU can't have it all ways,,https://doi.org/10.1038/534179b,Penny Hawkins; Paul Littlefair,2016-06-08,2016,article,0,https://openalex.org/W2409858535,https://openalex.org/W2409858535,China,15,neutral,0.6
Nature,Policy: Boost basic research in China,,https://doi.org/10.1038/534467a,Wei Yang,2016-06-20,2016,article,41,https://openalex.org/W2462264050,https://openalex.org/W2462264050,China,16,positive,0.9
Nature,Bioethics in China: No wild east,,https://doi.org/10.1038/534465a,Douglas Sipp; Duanqing Pei,2016-06-20,2016,article,15,https://openalex.org/W2472735020,https://openalex.org/W2472735020,China,17,positive,0.85
Nature,Science in China,,https://doi.org/10.1038/534451a,,2016-06-20,2016,article,2,https://openalex.org/W4249657667,https://openalex.org/W4249657667,China,18,neutral,0.9
